Date,All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon)
4/8/2019,2.826
4/15/2019,2.912
4/22/2019,2.926
4/29/2019,2.972
5/6/2019,2.983
5/13/2019,2.954
5/20/2019,2.939
5/27/2019,2.909
6/3/2019,2.893
6/10/2019,2.821
6/17/2019,2.759
6/24/2019,2.741
7/1/2019,2.798
7/8/2019,2.827
7/15/2019,2.86
7/22/2019,2.833
7/29/2019,2.798
8/5/2019,2.772
8/12/2019,2.71
8/19/2019,2.684
8/26/2019,2.661
9/2/2019,2.651
9/9/2019,2.638
9/16/2019,2.64
9/23/2019,2.741
9/30/2019,2.737
10/7/2019,2.742
10/14/2019,2.727
10/21/2019,2.735
10/28/2019,2.692
11/4/2019,2.702
11/11/2019,2.711
11/18/2019,2.688
11/25/2019,2.672
12/2/2019,2.667
12/9/2019,2.652
12/16/2019,2.627
12/23/2019,2.621
12/30/2019,2.658
1/6/2020,2.665
1/13/2020,2.657
1/20/2020,2.625
1/27/2020,2.595
2/3/2020,2.546
2/10/2020,2.511
2/17/2020,2.518
2/24/2020,2.555
3/2/2020,2.514
3/9/2020,2.468
3/16/2020,2.343
3/23/2020,2.217
3/30/2020,2.103
4/6/2020,2.022
4/13/2020,1.951
4/20/2020,1.91
4/27/2020,1.87
5/4/2020,1.883
5/11/2020,1.941
5/18/2020,1.969
5/25/2020,2.049
6/1/2020,2.064
6/8/2020,2.123
6/15/2020,2.185
6/22/2020,2.216
6/29/2020,2.26
7/6/2020,2.265
7/13/2020,2.283
7/20/2020,2.275
7/27/2020,2.265
8/3/2020,2.266
8/10/2020,2.256
8/17/2020,2.256
8/24/2020,2.272
8/31/2020,2.311
9/7/2020,2.302
9/14/2020,2.274
9/21/2020,2.259
9/28/2020,2.259
10/5/2020,2.262
10/12/2020,2.257
10/19/2020,2.24
10/26/2020,2.234
11/2/2020,2.204
11/9/2020,2.188
11/16/2020,2.202
11/23/2020,2.194
11/30/2020,2.211
12/7/2020,2.246
12/14/2020,2.247
12/21/2020,2.311
12/28/2020,2.33
1/4/2021,2.336
1/11/2021,2.403
1/18/2021,2.464
1/25/2021,2.478
